geo_code,geo_level,area,sex,literacy,total
246,district,Rural,Male,Literate,23353
246,district,Urban,Male,Literate,6213
247,district,Rural,Male,Literate,15103
247,district,Urban,Male,Literate,6496
248,district,Rural,Male,Literate,27273
248,district,Urban,Male,Literate,38521
249,district,Rural,Male,Literate,19615
249,district,Urban,Male,Literate,5192
250,district,Rural,Male,Literate,25933
250,district,Urban,Male,Literate,10844
251,district,Rural,Male,Literate,23694
251,district,Urban,Male,Literate,10516
252,district,Rural,Male,Literate,8280
252,district,Urban,Male,Literate,2443
253,district,Rural,Male,Literate,35423
253,district,Urban,Male,Literate,8604
254,district,Rural,Male,Literate,20628
254,district,Urban,Male,Literate,8685
255,district,Rural,Male,Literate,24376
255,district,Urban,Male,Literate,5094
256,district,Rural,Male,Literate,19486
256,district,Urban,Male,Literate,772
257,district,Rural,Male,Literate,1587
257,district,Urban,Male,Literate,1027
258,district,Rural,Male,Literate,13079
258,district,Urban,Male,Literate,5008
259,district,Rural,Male,Literate,35452
259,district,Urban,Male,Literate,12928
260,district,Rural,Male,Literate,6073
260,district,Urban,Male,Literate,450
13,state,Rural,Male,Literate,484021
13,state,Urban,Male,Literate,239936
261,district,Rural,Male,Literate,53938
261,district,Urban,Male,Literate,13494
262,district,Rural,Male,Literate,58307
262,district,Urban,Male,Literate,25172
263,district,Rural,Male,Literate,41377
263,district,Urban,Male,Literate,12127
264,district,Rural,Male,Literate,51667
264,district,Urban,Male,Literate,15718
265,district,Rural,Male,Literate,68340
265,district,Urban,Male,Literate,81802
266,district,Rural,Male,Literate,47337
266,district,Urban,Male,Literate,10589
267,district,Rural,Male,Literate,48113
267,district,Urban,Male,Literate,15540
268,district,Rural,Male,Literate,13016
268,district,Urban,Male,Literate,3123
269,district,Rural,Male,Literate,16255
269,district,Urban,Male,Literate,6420
270,district,Rural,Male,Literate,56271
270,district,Urban,Male,Literate,50767
271,district,Rural,Male,Literate,29400
271,district,Urban,Male,Literate,5184
14,state,Rural,Male,Literate,710134
14,state,Urban,Male,Literate,329724
272,district,Rural,Male,Literate,145129
272,district,Urban,Male,Literate,2883
273,district,Rural,Male,Literate,39729
273,district,Urban,Male,Literate,7674
274,district,Rural,Male,Literate,96504
274,district,Urban,Male,Literate,7509
275,district,Rural,Male,Literate,54031
275,district,Urban,Male,Literate,33282
276,district,Rural,Male,Literate,94714
276,district,Urban,Male,Literate,57903
277,district,Rural,Male,Literate,74969
277,district,Urban,Male,Literate,131016
278,district,Rural,Male,Literate,100937
278,district,Urban,Male,Literate,72377
279,district,Rural,Male,Literate,58978
279,district,Urban,Male,Literate,11170
280,district,Rural,Male,Literate,45143
280,district,Urban,Male,Literate,5910
15,state,Rural,Male,Literate,195400
15,state,Urban,Male,Literate,243129
281,district,Rural,Male,Literate,26732
281,district,Urban,Male,Literate,6245
282,district,Rural,Male,Literate,14387
282,district,Urban,Male,Literate,19760
283,district,Rural,Male,Literate,35914
283,district,Urban,Male,Literate,133633
284,district,Rural,Male,Literate,31380
284,district,Urban,Male,Literate,20060
285,district,Rural,Male,Literate,13747
285,district,Urban,Male,Literate,13851
286,district,Rural,Male,Literate,34067
286,district,Urban,Male,Literate,30448
287,district,Rural,Male,Literate,27644
287,district,Urban,Male,Literate,8800
288,district,Rural,Male,Literate,11529
288,district,Urban,Male,Literate,10332
16,state,Rural,Male,Literate,1081503
16,state,Urban,Male,Literate,419866
289,district,Rural,Male,Literate,427581
289,district,Urban,Male,Literate,295417
290,district,Rural,Male,Literate,296820
290,district,Urban,Male,Literate,54262
291,district,Rural,Male,Literate,133640
291,district,Urban,Male,Literate,18003
292,district,Rural,Male,Literate,223462
292,district,Urban,Male,Literate,52184
17,state,Rural,Male,Literate,675636
17,state,Urban,Male,Literate,238243
293,district,Rural,Male,Literate,163020
293,district,Urban,Male,Literate,30418
294,district,Rural,Male,Literate,84705
294,district,Urban,Male,Literate,17808
295,district,Rural,Male,Literate,39880
295,district,Urban,Male,Literate,5123
296,district,Rural,Male,Literate,102493
296,district,Urban,Male,Literate,14814
297,district,Rural,Male,Literate,70682
297,district,Urban,Male,Literate,10295
298,district,Rural,Male,Literate,138245
298,district,Urban,Male,Literate,149025
299,district,Rural,Male,Literate,76611
299,district,Urban,Male,Literate,10760
18,state,Rural,Male,Literate,8706193
18,state,Urban,Male,Literate,1862446
300,district,Rural,Male,Literate,251658
300,district,Urban,Male,Literate,23562
301,district,Rural,Male,Literate,431395
301,district,Urban,Male,Literate,80156
302,district,Rural,Male,Literate,256085
302,district,Urban,Male,Literate,48217
303,district,Rural,Male,Literate,437702
303,district,Urban,Male,Literate,61336
304,district,Rural,Male,Literate,260603
304,district,Urban,Male,Literate,29095
305,district,Rural,Male,Literate,769517
305,district,Urban,Male,Literate,152333
306,district,Rural,Male,Literate,546151
306,district,Urban,Male,Literate,74374
307,district,Rural,Male,Literate,337806
307,district,Urban,Male,Literate,37746
308,district,Rural,Male,Literate,218382
308,district,Urban,Male,Literate,19379
309,district,Rural,Male,Literate,339871
309,district,Urban,Male,Literate,113578
310,district,Rural,Male,Literate,385122
310,district,Urban,Male,Literate,106239
311,district,Rural,Male,Literate,396272
311,district,Urban,Male,Literate,48495
312,district,Rural,Male,Literate,336698
312,district,Urban,Male,Literate,95637
313,district,Rural,Male,Literate,354039
313,district,Urban,Male,Literate,42436
314,district,Rural,Male,Literate,267214
314,district,Urban,Male,Literate,47039
315,district,Rural,Male,Literate,50658
315,district,Urban,Male,Literate,27901
316,district,Rural,Male,Literate,509621
316,district,Urban,Male,Literate,130325
317,district,Rural,Male,Literate,388846
317,district,Urban,Male,Literate,47096
318,district,Rural,Male,Literate,206089
318,district,Urban,Male,Literate,20747
319,district,Rural,Male,Literate,191158
319,district,Urban,Male,Literate,45956
320,district,Rural,Male,Literate,132102
320,district,Urban,Male,Literate,13767
321,district,Rural,Male,Literate,489607
321,district,Urban,Male,Literate,60612
322,district,Rural,Male,Literate,80103
322,district,Urban,Male,Literate,457124
323,district,Rural,Male,Literate,257140
323,district,Urban,Male,Literate,36044
324,district,Rural,Male,Literate,318180
324,district,Urban,Male,Literate,4434
325,district,Rural,Male,Literate,245311
325,district,Urban,Male,Literate,23355
326,district,Rural,Male,Literate,248863
326,district,Urban,Male,Literate,15463
19,state,Rural,Male,Literate,21848197
19,state,Urban,Male,Literate,11970613
327,district,Rural,Male,Literate,410782
327,district,Urban,Male,Literate,306891
328,district,Rural,Male,Literate,972356
328,district,Urban,Male,Literate,424266
329,district,Rural,Male,Literate,906392
329,district,Urban,Male,Literate,122341
330,district,Rural,Male,Literate,713641
330,district,Urban,Male,Literate,139854
331,district,Rural,Male,Literate,495597
331,district,Urban,Male,Literate,100877
332,district,Rural,Male,Literate,961409
332,district,Urban,Male,Literate,190610
333,district,Rural,Male,Literate,1713685
333,district,Urban,Male,Literate,463502
334,district,Rural,Male,Literate,1025661
334,district,Urban,Male,Literate,175820
335,district,Rural,Male,Literate,1671556
335,district,Urban,Male,Literate,1246484
336,district,Rural,Male,Literate,1281436
336,district,Urban,Male,Literate,597430
337,district,Rural,Male,Literate,1593026
337,district,Urban,Male,Literate,2463020
338,district,Rural,Male,Literate,1309767
338,district,Urban,Male,Literate,902010
339,district,Rural,Male,Literate,1174375
339,district,Urban,Male,Literate,124962
340,district,Rural,Male,Literate,858620
340,district,Urban,Male,Literate,143438
341,district,Rural,Male,Literate,682352
341,district,Urban,Male,Literate,1260472
342,district,Rural,Male,Literate,0
342,district,Urban,Male,Literate,1926915
343,district,Rural,Male,Literate,2216852
343,district,Urban,Male,Literate,826425
344,district,Rural,Male,Literate,1967008
344,district,Urban,Male,Literate,299905
345,district,Rural,Male,Literate,1893682
345,district,Urban,Male,Literate,255391
20,state,Rural,Male,Literate,7682731
20,state,Urban,Male,Literate,3199788
346,district,Rural,Male,Literate,378452
346,district,Urban,Male,Literate,26709
347,district,Rural,Male,Literate,278745
347,district,Urban,Male,Literate,25157
348,district,Rural,Male,Literate,184511
348,district,Urban,Male,Literate,54269
349,district,Rural,Male,Literate,705100
349,district,Urban,Male,Literate,78636
350,district,Rural,Male,Literate,382872
350,district,Urban,Male,Literate,106965
351,district,Rural,Male,Literate,350710
351,district,Urban,Male,Literate,25502
352,district,Rural,Male,Literate,231109
352,district,Urban,Male,Literate,56194
353,district,Rural,Male,Literate,186532
353,district,Urban,Male,Literate,20457
354,district,Rural,Male,Literate,397144
354,district,Urban,Male,Literate,617806
355,district,Rural,Male,Literate,357363
355,district,Urban,Male,Literate,401725
356,district,Rural,Male,Literate,126853
356,district,Urban,Male,Literate,22715
357,district,Rural,Male,Literate,327892
357,district,Urban,Male,Literate,528634
358,district,Rural,Male,Literate,532569
358,district,Urban,Male,Literate,89137
359,district,Rural,Male,Literate,190161
359,district,Urban,Male,Literate,19545
360,district,Rural,Male,Literate,482336
360,district,Urban,Male,Literate,113777
361,district,Rural,Male,Literate,179912
361,district,Urban,Male,Literate,170119
362,district,Rural,Male,Literate,369261
362,district,Urban,Male,Literate,37014
363,district,Rural,Male,Literate,227285
363,district,Urban,Male,Literate,30975
364,district,Rural,Male,Literate,560352
